1982	1	allareas	allages	len25-26	32
1983	1	allareas	allages	len25-26	29
1984	1	allareas	allages	len25-26	21
1985	1	allareas	allages	len25-26	1
1986	1	allareas	allages	len25-26	13
1987	1	allareas	allages	len25-26	11
1988	1	allareas	allages	len25-26	39
1989	1	allareas	allages	len25-26	1
1990	1	allareas	allages	len25-26	22
1991	1	allareas	allages	len25-26	1
1992	1	allareas	allages	len25-26	28
1993	1	allareas	allages	len25-26	25
1994	1	allareas	allages	len25-26	45
1995	1	allareas	allages	len25-26	99
1996	1	allareas	allages	len25-26	34
1997	1	allareas	allages	len25-26	45
1998	1	allareas	allages	len25-26	30
1999	1	allareas	allages	len25-26	37
2000	1	allareas	allages	len25-26	25
2001	1	allareas	allages	len25-26	14
2002	1	allareas	allages	len25-26	33
2003	1	allareas	allages	len25-26	27
2004	1	allareas	allages	len25-26	65
2005	1	allareas	allages	len25-26	93
2006	1	allareas	allages	len25-26	29
2007	1	allareas	allages	len25-26	14
2008	1	allareas	allages	len25-26	19
2009	1	allareas	allages	len25-26	20
2010	1	allareas	allages	len25-26	39
2011	1	allareas	allages	len25-26	34
2012	1	allareas	allages	len25-26	41
2013	1	allareas	allages	len25-26	20
2014	1	allareas	allages	len25-26	9
1957	2	allareas	allages	len25-26	1
1972	2	allareas	allages	len25-26	2
1973	2	allareas	allages	len25-26	36
1975	2	allareas	allages	len25-26	10
1976	2	allareas	allages	len25-26	11
1977	2	allareas	allages	len25-26	28
1978	2	allareas	allages	len25-26	14
1979	2	allareas	allages	len25-26	1
1980	2	allareas	allages	len25-26	6
1981	2	allareas	allages	len25-26	22
1982	2	allareas	allages	len25-26	92
1983	2	allareas	allages	len25-26	83
1984	2	allareas	allages	len25-26	39
1985	2	allareas	allages	len25-26	14
1986	2	allareas	allages	len25-26	15
1987	2	allareas	allages	len25-26	12
1988	2	allareas	allages	len25-26	17
1989	2	allareas	allages	len25-26	36
1990	2	allareas	allages	len25-26	31
1991	2	allareas	allages	len25-26	4
1992	2	allareas	allages	len25-26	15
1993	2	allareas	allages	len25-26	67
1994	2	allareas	allages	len25-26	19
1995	2	allareas	allages	len25-26	48
1996	2	allareas	allages	len25-26	14
1997	2	allareas	allages	len25-26	32
1998	2	allareas	allages	len25-26	35
1999	2	allareas	allages	len25-26	42
2000	2	allareas	allages	len25-26	110
2001	2	allareas	allages	len25-26	43
2002	2	allareas	allages	len25-26	121
2003	2	allareas	allages	len25-26	178
2004	2	allareas	allages	len25-26	46
2005	2	allareas	allages	len25-26	152
2006	2	allareas	allages	len25-26	73
2007	2	allareas	allages	len25-26	32
2008	2	allareas	allages	len25-26	71
2009	2	allareas	allages	len25-26	37
2010	2	allareas	allages	len25-26	68
2011	2	allareas	allages	len25-26	10
2012	2	allareas	allages	len25-26	14
2013	2	allareas	allages	len25-26	11
1952	1	allareas	allages	len27-28	1
1956	1	allareas	allages	len27-28	3
1957	1	allareas	allages	len27-28	17
1958	1	allareas	allages	len27-28	8
1960	1	allareas	allages	len27-28	2
1963	1	allareas	allages	len27-28	1
1973	1	allareas	allages	len27-28	1
1975	1	allareas	allages	len27-28	3
1976	1	allareas	allages	len27-28	15
1977	1	allareas	allages	len27-28	92
1978	1	allareas	allages	len27-28	20
1979	1	allareas	allages	len27-28	68
1980	1	allareas	allages	len27-28	16
1981	1	allareas	allages	len27-28	38
1982	1	allareas	allages	len27-28	35
1983	1	allareas	allages	len27-28	116
1984	1	allareas	allages	len27-28	98
1985	1	allareas	allages	len27-28	27
1986	1	allareas	allages	len27-28	16
1987	1	allareas	allages	len27-28	35
1988	1	allareas	allages	len27-28	74
1989	1	allareas	allages	len27-28	7
1990	1	allareas	allages	len27-28	57
1991	1	allareas	allages	len27-28	10
1992	1	allareas	allages	len27-28	44
1993	1	allareas	allages	len27-28	106
1994	1	allareas	allages	len27-28	243
1995	1	allareas	allages	len27-28	153
1996	1	allareas	allages	len27-28	70
1997	1	allareas	allages	len27-28	81
1998	1	allareas	allages	len27-28	102
1999	1	allareas	allages	len27-28	179
2000	1	allareas	allages	len27-28	199
2001	1	allareas	allages	len27-28	107
2002	1	allareas	allages	len27-28	112
2003	1	allareas	allages	len27-28	83
2004	1	allareas	allages	len27-28	145
2005	1	allareas	allages	len27-28	324
2006	1	allareas	allages	len27-28	100
2007	1	allareas	allages	len27-28	69
2008	1	allareas	allages	len27-28	92
2009	1	allareas	allages	len27-28	34
2010	1	allareas	allages	len27-28	80
2011	1	allareas	allages	len27-28	104
2012	1	allareas	allages	len27-28	77
2013	1	allareas	allages	len27-28	63
2014	1	allareas	allages	len27-28	23
1952	2	allareas	allages	len27-28	5
1957	2	allareas	allages	len27-28	7
1961	2	allareas	allages	len27-28	1
1972	2	allareas	allages	len27-28	4
1973	2	allareas	allages	len27-28	48
1975	2	allareas	allages	len27-28	25
1976	2	allareas	allages	len27-28	52
1977	2	allareas	allages	len27-28	55
1978	2	allareas	allages	len27-28	32
1979	2	allareas	allages	len27-28	15
1980	2	allareas	allages	len27-28	44
1981	2	allareas	allages	len27-28	77
1982	2	allareas	allages	len27-28	230
1983	2	allareas	allages	len27-28	179
1984	2	allareas	allages	len27-28	168
1985	2	allareas	allages	len27-28	70
1986	2	allareas	allages	len27-28	55
1987	2	allareas	allages	len27-28	36
1988	2	allareas	allages	len27-28	41
1989	2	allareas	allages	len27-28	90
1990	2	allareas	allages	len27-28	117
1991	2	allareas	allages	len27-28	10
1992	2	allareas	allages	len27-28	54
