;year	step	area	lgr	number
1999	1	allareas	len27-28	74983
1999	1	allareas	len29-30	85525
1999	1	allareas	len31-32	94267
1999	1	allareas	len33-34	81051
1999	1	allareas	len35-36	80274
1999	1	allareas	len37-38	66097
1999	1	allareas	len39-40	40697
1999	1	allareas	len41-42	23506
1999	1	allareas	len43-44	10753
1999	1	allareas	len45-46	4356
1999	1	allareas	len47-48	1706
1999	1	allareas	len49-50	797
1999	1	allareas	len51-52	306
1999	1	allareas	len53-54	115
2000	1	allareas	len19-20	8120
2000	1	allareas	len21-22	9467
2000	1	allareas	len23-24	12725
2000	1	allareas	len25-26	19393
2000	1	allareas	len27-28	40039
2000	1	allareas	len29-30	79833
2000	1	allareas	len31-32	91982
2000	1	allareas	len33-34	82200
2000	1	allareas	len35-36	57131
2000	1	allareas	len37-38	39036
2000	1	allareas	len39-40	21968
2000	1	allareas	len41-42	13046
2000	1	allareas	len43-44	6253
2000	1	allareas	len45-46	2899
2000	1	allareas	len47-48	1283
2000	1	allareas	len49-50	1059
2000	1	allareas	len51-52	288
2000	1	allareas	len53-54	156
2001	1	allareas	len19-20	5069
2001	1	allareas	len21-22	6519
2001	1	allareas	len23-24	7613
2001	1	allareas	len25-26	11782
2001	1	allareas	len27-28	24536
2001	1	allareas	len29-30	47732
2001	1	allareas	len31-32	90619
2001	1	allareas	len33-34	82279
2001	1	allareas	len35-36	50779
2001	1	allareas	len37-38	36859
2001	1	allareas	len39-40	21804
2001	1	allareas	len41-42	11903
2001	1	allareas	len43-44	6249
2001	1	allareas	len45-46	2848
2001	1	allareas	len47-48	1560
2001	1	allareas	len49-50	1211
2001	1	allareas	len51-52	594
2001	1	allareas	len53-54	363
2002	1	allareas	len19-20	5639
2002	1	allareas	len21-22	7714
2002	1	allareas	len23-24	11666
2002	1	allareas	len25-26	17896
2002	1	allareas	len27-28	25380
2002	1	allareas	len29-30	54607
2002	1	allareas	len31-32	88424
2002	1	allareas	len33-34	107825
2002	1	allareas	len35-36	72309
2002	1	allareas	len37-38	48817
2002	1	allareas	len39-40	28600
2002	1	allareas	len41-42	17586
2002	1	allareas	len43-44	9478
2002	1	allareas	len45-46	4780
2002	1	allareas	len47-48	2999
2002	1	allareas	len49-50	932
2002	1	allareas	len51-52	399
2002	1	allareas	len53-54	100
2003	1	allareas	len19-20	8755
2003	1	allareas	len21-22	17195
2003	1	allareas	len23-24	29383
2003	1	allareas	len25-26	36631
2003	1	allareas	len27-28	41881
2003	1	allareas	len29-30	67525
2003	1	allareas	len31-32	133015
2003	1	allareas	len33-34	157364
2003	1	allareas	len35-36	104121
2003	1	allareas	len37-38	59881
2003	1	allareas	len39-40	38220
2003	1	allareas	len41-42	20336
2003	1	allareas	len43-44	12077
2003	1	allareas	len45-46	6644
2003	1	allareas	len47-48	3472
2003	1	allareas	len49-50	1530
2003	1	allareas	len51-52	1057
2003	1	allareas	len53-54	568
2004	1	allareas	len19-20	4777
2004	1	allareas	len21-22	7508
2004	1	allareas	len23-24	14400
2004	1	allareas	len25-26	33649
2004	1	allareas	len27-28	38144
2004	1	allareas	len29-30	63986
2004	1	allareas	len31-32	128184
2004	1	allareas	len33-34	162762
2004	1	allareas	len35-36	101990
2004	1	allareas	len37-38	62177
2004	1	allareas	len39-40	29817
2004	1	allareas	len41-42	21586
2004	1	allareas	len43-44	9927
2004	1	allareas	len45-46	4615
2004	1	allareas	len47-48	3093
2004	1	allareas	len49-50	1026
2004	1	allareas	len51-52	1374
2004	1	allareas	len53-54	1349
2005	1	allareas	len19-20	6038
2005	1	allareas	len21-22	7472
2005	1	allareas	len23-24	21451
2005	1	allareas	len25-26	43773
2005	1	allareas	len27-28	76284
2005	1	allareas	len29-30	102500
2005	1	allareas	len31-32	99435
2005	1	allareas	len33-34	116897
2005	1	allareas	len35-36	107122
2005	1	allareas	len37-38	53021
2005	1	allareas	len39-40	31020
2005	1	allareas	len41-42	18367
2005	1	allareas	len43-44	9064
2005	1	allareas	len45-46	5614
2005	1	allareas	len47-48	3136
2005	1	allareas	len49-50	1419
2005	1	allareas	len51-52	699
2005	1	allareas	len53-54	769
2006	1	allareas	len19-20	3687
2006	1	allareas	len21-22	6866
2006	1	allareas	len23-24	16430
2006	1	allareas	len25-26	23380
2006	1	allareas	len27-28	39671
2006	1	allareas	len29-30	55731
2006	1	allareas	len31-32	95095
2006	1	allareas	len33-34	97310
2006	1	allareas	len35-36	97802
2006	1	allareas	len37-38	49213
2006	1	allareas	len39-40	29938
2006	1	allareas	len41-42	17571
2006	1	allareas	len43-44	10315
2006	1	allareas	len45-46	6774
2006	1	allareas	len47-48	6062
2006	1	allareas	len49-50	2535
2006	1	allareas	len51-52	1389
2006	1	allareas	len53-54	586
2007	1	allareas	len19-20	3634
2007	1	allareas	len21-22	6695
2007	1	allareas	len23-24	17479
2007	1	allareas	len25-26	42950
2007	1	allareas	len27-28	61913
2007	1	allareas	len29-30	79668
2007	1	allareas	len31-32	137205
2007	1	allareas	len33-34	168486
2007	1	allareas	len35-36	121773
2007	1	allareas	len37-38	65849
2007	1	allareas	len39-40	30180
2007	1	allareas	len41-42	17507
2007	1	allareas	len43-44	12289
2007	1	allareas	len45-46	8732
2007	1	allareas	len47-48	6824
2007	1	allareas	len49-50	3585
2007	1	allareas	len51-52	1404
2007	1	allareas	len53-54	1016
2008	1	allareas	len19-20	4948
2008	1	allareas	len21-22	7792
2008	1	allareas	len23-24	12334
2008	1	allareas	len25-26	24802
2008	1	allareas	len27-28	66745
2008	1	allareas	len29-30	117613
2008	1	allareas	len31-32	162675
2008	1	allareas	len33-34	156500
2008	1	allareas	len35-36	110098
2008	1	allareas	len37-38	55106
2008	1	allareas	len39-40	30396
2008	1	allareas	len41-42	18360
2008	1	allareas	len43-44	15058
2008	1	allareas	len45-46	10013
2008	1	allareas	len47-48	9401
2008	1	allareas	len49-50	5305
2008	1	allareas	len51-52	2443
2008	1	allareas	len53-54	1719
2009	1	allareas	len19-20	4039
2009	1	allareas	len21-22	5053
2009	1	allareas	len23-24	7652
2009	1	allareas	len25-26	15868
2009	1	allareas	len27-28	23345
2009	1	allareas	len29-30	51480
2009	1	allareas	len31-32	104039
2009	1	allareas	len33-34	144862
2009	1	allareas	len35-36	136468
2009	1	allareas	len37-38	95478
2009	1	allareas	len39-40	27838
